;edit_history_tweet_ids;id;text;intent
14;['1622743993615278081'];1622743993615278080;Mehn aside from politic or anything. I just like the way the boys flow and share Dem experience mehn https://t.co/ok5rrNMiUD;politic
15;['1622743917610389505'];1622743917610389504;"@faisalafridi007 @elonmusk as already said don't trust in a person who called ""pedo"" an hero only for had say his robot wasn't good or a person who had let alone Ukraine after have help them... I'm sure my italian marine and co are ready for helping you, but Elon is just doing this for politic.";politic
16;['1622743901445521408'];1622743901445521408;A bridge that connects monarchies of the Middle Ages and modern-day nation-states is the concept of the King's two bodies. To ensure continuity to the politics of the monarch even after his death, his other body that is the body politic ends up representing their sovereignty. 1/;politic
17;['1622743523215777793'];1622743523215777792;/ I find it ironic that I get recommended politic stuff on this account;politic
18;['1622743231720214528'];1622743231720214528;"@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro I'm not against your ideas, I support all that.
However I just don't see your way will achieve anything.";politic
19;['1622743013066936321'];1622743013066936320;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
20;['1622742887116177408'];1622742887116177408;"@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro Oh really, and who would that be?
Did they get voted in (lol) or did you just waste a vote?";politic
21;['1622742764315111424'];1622742764315111424;@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro But I forgot, spending 20% on post tax income on healthcare that can bankrupt you, not being able to declare bankruptcy on student loans, expanding offshore drilling, and continuing to militarize police is a “win” for you. What else? Supporting the Patriot act a win for you too?;politic
22;['1622742412178120705'];1622742412178120704;@AllJuveCast @Gazzetta_it Let me translate for people who don't speak PR and politic, we are gonna get fucked in the courts and Elkann knows it so he and his PR team are proactively working to make it look like this is Elkann's decision and not something he is forced to do by all the fines we will eat.;politic
23;['1622742283752726528'];1622742283752726528;@jahangirbabar Next year Player's  khely gy this year politic problem because indian Owner and Also scheduled (PSL);politic
24;['1622742265390047232'];1622742265390047232;"@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro I’ve voted for people that support living wages, single payer healthcare, universal childcare, tuition free higher education. You know, proven ideas that work all over the world

Meanwhile, you voted for the crime bill guy, the guy who opposed gay marriage, supported the Iraq war";politic
25;['1622742091758555138'];1622742091758555136;@Chris_H_Politic @JulianCastro What’s there about the pandemic and Big Oil that you don’t understand. Record profits that impacts EVERYTHING;politic
26;['1622741977526636550'];1622741977526636544;RT @mousdrvr: It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s…;politic
27;['1622741878524215296'];1622741878524215296;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
28;['1622741697875550208'];1622741697875550208;"RT @Chicago1Ray: Liz Cheney was dealt the most humiliating defeat in the history of our body politic 

Anytime you're having a bad day just…";politic
29;['1622741609686106113'];1622741609686106112;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
30;['1622740842363473921'];1622740842363473920;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
31;['1622740561949077504'];1622740561949077504;@nikospolydorou @CounsellingSam well its not clear to me which is why i asked and yes i think she comes accross polite it is my view and im sorry you think i am bias on a politic program but honest hun i m just sat watchin in my comservatry sippin a bloody rose lol so sorry hun you got the wrong girl psml;politic
32;['1622740504239656963'];1622740504239656960;"@Melvin_Deeply Have you ever read any 2000ad comics brah?

This is along the lines of being outraged that Watchmen was being politic stuff.";politic
33;['1622740277814530049'];1622740277814530048;To much politic inside, what's wrong with ltaly and @FIGC https://t.co/AqRd1tI5iV;politic
34;['1622739938650488834'];1622739938650488832;RT @mousdrvr: It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s…;politic
35;['1622739648568250374'];1622739648568250368;Diablo is a telling case.  The CA governor, the CA legislature (by landslide), the federal DoE and the Biden admin in general have all made their desire/intent clear that Diablo keep operating.  Will NRC really thumb its nose at the entire body politic and block it??  6/6;politic
36;['1622738776467415045'];1622738776467415040;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
37;['1622738755005063172'];1622738755005063168;@Chris_H_Politic @stevemur @whstancil No the chart shows that the corporate press is working hard to achieve the opposite of racial harmony, just like these trainings. That’s obvious for any non-austrich;politic
38;['1622738612600143873'];1622738612600143872;#BrexitReality #BrexitBrokeBritain #ToryBrexitDisaster ‘#Brexit – Three Years On: The Lie So Etched on Britain’s Body Politic’ – Byline Times https://t.co/YLdorFcKZO;politic
39;['1622738549542977536'];1622738549542977536;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
40;['1622738495734259712'];1622738495734259712;@Jerusalem_Post The Eu should revise it s politic with the Palestinian authority.  EU cannot be used for financing the killing of innocent people.;politic
41;['1622738230582947840'];1622738230582947840;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
42;['1622738207401025536'];1622738207401025536;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
43;['1622738090732187654'];1622738090732187648;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
44;['1622738028891451395'];1622738028891451392;@LI_politic_guy Never heard of it;politic
45;['1622737849228443650'];1622737849228443648;@LI_politic_guy Nothing;politic
46;['1622737769738170373'];1622737769738170368;@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro And what do you vote for to get that progress you're talking about and what's your success rate so far?;politic
47;['1622737434999136256'];1622737434999136256;Disney+ Teaches Your Kids America Is Evil and Racist https://t.co/bA6vtu9zY4  - @politic_talks;politic
48;['1622737388374990850'];1622737388374990848;…even if he didn’t know who he was….bro you lost. It is what it is. You don’t have to 💩💩 on someone else because you lost…politic better. #GRAMMYs #Grammys2023 https://t.co/TFo0oeKsOj;politic
49;['1622736932961767426'];1622736932961767424;RT @mousdrvr: It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s…;politic
50;['1622736713515663360'];1622736713515663360;RT @tn_daki: Politic posting https://t.co/2IcdYelfY0;politic
51;['1622736635799502848'];1622736635799502848;@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro Actually I vote every election, and unfortunately there are people like you who think voting against the interests of millions in order to support a do-nothing moderate party is the way to go. The biggest obstacle to progress are people who support blowhards like Biden.;politic
52;['1622736475401125894'];1622736475401125888;@KennCONN_ @LI_politic_guy And who instigated the situation?;politic
53;['1622736307066900480'];1622736307066900480;@LI_politic_guy Pretty rad humans feeding and protecting people. Working to organize the community. Cool hats. A necessary reaction. Big fan.;politic
54;['1622736306228043777'];1622736306228043776;@candaceowenspod Candace I don't think so. For the right this violates decency and a natural order of right and wrong held steadfast by the laws of God. For the left, they simply noticed a large body politic so they had to be outraged. But their outrage bears no root in the transcendent.;politic
55;['1622736242499624967'];1622736242499624960;@My_Politic Stache.;politic
56;['1622736105509363714'];1622736105509363712;RT @mousdrvr: It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s…;politic
57;['1622735696103411714'];1622735696103411712;RT @mousdrvr: It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s…;politic
58;['1622735655863189508'];1622735655863189504;"@BobLobl12121863 @realTuckFrumper But sure...  I point that out, so in typical Lefty fashion, the twisting and name-calling come right out.

Politic Us USA decides that she says she wants Biden dead (actually, they don't think so either, as this is just to rile their base) and you all fall for it.

Why?";politic
59;['1622735136596033536'];1622735136596033536;It’s become clear to me that the US body politic has very oversimplified and incorrect ideas about Capitalism and Socialism’s historical definitions. Capitalism is now conflated with simple commerce and Socialism with government doing *anything* other than corporate welfare.;politic
60;['1622734789529993216'];1622734789529993216;RT @tony121034: Why is that fair? #Representatives in #Congress can threaten harm as they did on #Jan6th and. currently continue to suggest…;politic
61;['1622734260653391872'];1622734260653391872;"@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro Eh. And how is that going to work?
You don't vote so people representing the other ideas you don't vote for gets voted in.
That will teach them!";politic
62;['1622734208836698112'];1622734208836698112;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";politic
63;['1622733797983748096'];1622733797983748096;@LI_politic_guy @Solidarity_Star The best American party ever!;politic
64;['1622733647139971077'];1622733647139971072;Eric Adams ‘slept like a baby’ at new NYC migrant shelter following migrant stake-out scandal https://t.co/XoJDv7Sau9  - @politic_talks #Politics #Political;politic
65;['1622733639917400065'];1622733639917400064;China insists second surveillance craft over Caribbean was also thrown off course by weather https://t.co/GJgtIlX0sj  - @politic_talks #Politics #Political;politic
66;['1622733433087696896'];1622733433087696896;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
67;['1622733297603289089'];1622733297603289088;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
68;['1622733265332486145'];1622733265332486144;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
69;['1622732475687485440'];1622732475687485440;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
70;['1622732330510036999'];1622732330510036992;@Chris_H_Politic @CelticsJAM @JulianCastro Pinched maybe. Massive no.;politic
71;['1622731892821987332'];1622731892821987328;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
72;['1622731869568798722'];1622731869568798720;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
73;['1622731710646419456'];1622731710646419456;@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro Or you need to stop supporting bad policy and telling everyone else to just accept your bad ideas 🤷🏻‍♂️;politic
74;['1622731326947471361'];1622731326947471360;"@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro Well then they need to ""grow up"".";politic
75;['1622731128498016261'];1622731128498016256;"@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro Actually a larger portion of Americans don’t vote at all, likely bc they’re tired of clear losses being recognized as wins. 

There’s a reason the overwhelming majority of voters under 40 don’t want Biden or Trump, and it has everything to do with what’s being voted for.";politic
76;['1622730899312762883'];1622730899312762880;"@realTuckFrumper This is Politic US USA's Header on their Website.

They say they have ""No Agenda"".

Why do people fall for this crap??? https://t.co/nvS22qjna9";politic
77;['1622730374186156032'];1622730374186156032;White House press secretary fumbles question on other Chinese surveillance flights during Biden admin https://t.co/CpB6Mol1Sv  - @politic_talks #Politics #Political;politic
78;['1622729874027737088'];1622729874027737088;Farai Chideya @farai is an award-winning journalist who is currently the creator and host of “Our Body Politic,” a syndicated public radio show/podcast about Black women/all women of color using their power for the good of all. https://t.co/Ff2x6cD5db;politic
79;['1622729831636160512'];1622729831636160512;@LI_politic_guy @Solidarity_Star It was the most effective, highly mobilized revolutionary organization in US history, which is why it was destroyed by the police and COINTELPRO.;politic
80;['1622729549157916673'];1622729549157916672;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
81;['1622729117396238340'];1622729117396238336;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
82;['1622729024459141121'];1622729024459141120;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
83;['1622728755314663424'];1622728755314663424;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
84;['1622728595796856834'];1622728595796856832;@nymphettim i had to stop reading a fic bc the author kept going off on obscure health-politic rants in jason todd’s POV??? i don’t even know;politic
85;['1622728327692955650'];1622728327692955648;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
86;['1622728257857626112'];1622728257857626112;Friggin’ Briggs is terminally cute!The “Do nothing” GOP HAS FINALLY SUCCEEDED IN CONVINCING AMERICANS THEIR PARTY WILL TAKE THE NATION OFF THE CLIFF UNLESS THEY EXORCISE TRUMPISM FROM OUR BODY POLITIC! Tomorrow Biden will layout what his admin has done for NOT TO AMERICA! https://t.co/57u2oRKChP;politic
87;['1622728207735853056'];1622728207735853056;@ModerateDemFan @LI_politic_guy @D0m1n8tor Well, it is a very common one, yes, so there's that.;politic
88;['1622728091096256515'];1622728091096256512;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
89;['1622727980953792512'];1622727980953792512;"@Cascades59 @elonmusk @Lukewearechange You are one of the ones who should be ""contiened"", russia has not invaded over 50 countries in most brutal ways since hitler was stopped. We need to contain some people riding us into esrthly hellfire, because nato satans can't wait for hellfire after death. Apocalyptic politic.";politic
90;['1622727867141394432'];1622727867141394432;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
91;['1622727829078126597'];1622727829078126592;"RT @Chicago1Ray: Liz Cheney was dealt the most humiliating defeat in the history of our body politic 

Anytime you're having a bad day just…";politic
92;['1622727730952560640'];1622727730952560640;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
93;['1622727455449677833'];1622727455449677824;@LI_politic_guy Very popular with FBI;politic
94;['1622727441343979522'];1622727441343979520;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
95;['1622727330715115520'];1622727330715115520;RT @Andrews42F: @chrislhayes @WalterAppling Chris Hayes is right. Today's GOP has nothing positive to contribute to our national discourse.…;politic
96;['1622727285920104458'];1622727285920104448;@RobVanDom @Chris_H_Politic @CelticsJAM @JulianCastro Look around you. That is what a large portion of Americans vote for.;politic
97;['1622727194794393601'];1622727194794393600;@JD192530 @Sixto8091 Same as DR, when there's politic and economic things i see the white but when someone just take a pic on the streets i see most black and mulatto. But you got some points;politic
98;['1622726988304732165'];1622726988304732160;RT @theericklouis: Y’all can argue the music was good but the same can be said for all the other artists in the category in ADDITION to the…;politic
99;['1622726978565701633'];1622726978565701632;In latest blow to school closures, study finds kids over 100 times less likely to die from COVID than adults https://t.co/DD4OiFNzXC  - @politic_talks #Politics #Political;politic
100;['1622726970525220873'];1622726970525220864;Republicans demand answers from Smithsonian for kicking out pro-life students https://t.co/awPF8z2mTV  - @politic_talks #Politics #Political;politic
101;['1622726647773274112'];1622726647773274112;@LI_politic_guy They did the first free school breakfast program and Ronald Reagan hated them. Which automatically makes me like them at least a little bit.;politic
102;['1622726589938106368'];1622726589938106368;@S1n31ra @Chris_H_Politic @CelticsJAM @JulianCastro You guys have said this for 20+ years while we get next to nothing. We aren’t moving forward, 64% of Americans live paycheck to paycheck, student loan debt wasn’t forgiven, household debt is higher than ever, $15/hr can’t get you a 1BR apartment, and healthcare is unaffordable.;politic
103;['1622726577644765189'];1622726577644765184;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
104;['1622726320303243270'];1622726320303243264;"it's like: you're making some ideas more palatable to them by acting like they can just be slovenly rude bigots to anyone and pretend they have a leftist politic thanks to anti-capitalism
even though they're still cynical individualists who don't wanna be in a community w/anyone";politic
105;['1622726001389338626'];1622726001389338624;RT @Cl1Richard: There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation,…;politic
106;['1622725547074650112'];1622725547074650112;There is absolutely no doubt in my mind the Trudeau is a Compulsive Liar! Trudeau’s the name Disinformation,Misinformation, Division and Wedge Politic are his game https://t.co/YnFEr1PzII https://t.co/Dp3HgN6KTN;politic
107;['1622725501168062464'];1622725501168062464;"Perspective.

Chapter 4:
""Apocalypse Memes for the Anthropocene God: Mediating Crisis and the Memetic Body Politic""
Bogna M. Konior [@bognamk]

from:
""Post Memes: Seizing the Memes of Production""

https://t.co/HreCReVPIC https://t.co/gyLjKM6flf";politic
108;['1622725392778813441'];1622725392778813440;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";politic
109;['1622725046270656512'];1622725046270656512;If you want to start a verbal argument, it’s best not to do it with a person from @NJGov. Regardless of circumstance or politic reasoning you will lose because arguing in NJ is a sport and we are world champs. https://t.co/gHitgj7XdW;politic
110;['1622724399148195842'];1622724399148195840;@Chris_H_Politic @demdemonz @JulianCastro When people are refuting it, you wildly shift goal posts. I think you've earned the derision.;politic
111;['1622724396799467524'];1622724396799467520;@Chris_H_Politic @JulianCastro And tfg will take us in the right direction?? Your memory is defective;politic
112;['1622723927062548484'];1622723927062548480;@Chris_H_Politic @JulianCastro Hard to overstate how horrendous of a take this is;politic
113;['1622723804903485440'];1622723804903485440;I really wish more people in Canada would be involve on politic instead of being careless https://t.co/odEfL3xGI2;politic
114;['1622723794392711175'];1622723794392711168;the obvious critiques of the inherent reactionary/settler politic of survivalism/post apocalyptic homesteading aside, the combination of white homonormative tropes and vicious resource hoarding/isolationist philosophy is something significant aesthetically.;politic
115;['1622723344180076545'];1622723344180076544;@Chris_H_Politic @JulianCastro What is the ARP? What is the IRA?;politic
116;['1622722949210861570'];1622722949210861568;@Chris_H_Politic @BillSchech @CelticsJAM @JulianCastro Lmfao, there it is folks ⤵️ 🤣 https://t.co/z9dvPYRE9s;politic
117;['1622722742041837571'];1622722742041837568;@_Eric_Reinhart No one has tracked dangerous racial identity politic trends in healthcare better than @aaronsibarium for the Free Beacon.;politic
118;['1622722383646715904'];1622722383646715904;"@Chris_H_Politic @BillSchech @CelticsJAM @JulianCastro This is the literally the strongest economy in 56 years, even with inflation 6th straight month. Wages are up, record jobs, black unemployment is the lowest its been. Even Stuart Varney and Rick Sentelli admit the economy is booming.

You're full of shit.
https://t.co/BGCV24LPKu https://t.co/DGZ7HjZfAz";politic
119;['1622722228088602624'];1622722228088602624;@dkamrl thank you for pointing that out. Yes, they havent prove that they can be the government rakyat need, even under 2 PMs. Or, under any of their states. Yet, always wanted to be in power with shallow politic minded around race and religion.;politic
120;['1622721654186016768'];1622721654186016768;@LI_politic_guy It is worse than slavery;politic
121;['1622721204439187460'];1622721204439187456;RT @BooksStoryline: Carnival Songs is a new novel by S.V. Brown about the history of politic, race and society in the city of Torrenceburg,…;politic
122;['1622721095550861314'];1622721095550861312;@Chris_H_Politic @JulianCastro Wages are up, you lying little shit. And several consequential bills were signed just last year. Inflation is down for the 6th straight month. https://t.co/wj5nmemMqS;politic
123;['1622720994929520641'];1622720994929520640;@politic_animal I read this even worse!;politic
124;['1622720393445273600'];1622720393445273600;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";politic
125;['1622720208321277952'];1622720208321277952;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
126;['1622720124355772416'];1622720124355772416;"We would be on our own 
And, always politic 
And shy of condescension, 
I would manage by some trick 
To switch the talk to eels 
Or lore of the horse and cart 
Or the Provisionals.";politic
127;['1622719759161720840'];1622719759161720832;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
128;['1622719703490924544'];1622719703490924544;@Chris_H_Politic @CelticsJAM @JulianCastro Not sure how that played out but wasn't it Sinema backtracking?;politic
129;['1622719457666953217'];1622719457666953216;Something something Nietzsche liberal freedom is a politic of weakness something something read my thesis https://t.co/ZpJ0ArGqxF;politic
130;['1622719426876375058'];1622719426876375040;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
131;['1622719076454858777'];1622719076454858752;@JosephOnuorah Nah so d tin b o. Politic fr naija is nt transparent o.we need serious Change;politic
132;['1622719009962745857'];1622719009962745856;"RT @allthecitizens: Brexit, Russia, and many more? 
https://t.co/TXqk2F9ikb";politic
133;['1622718845055107080'];1622718845055107072;@politic_animal A sign she's watching over you from Another World ,be blessed 🐈‍⬛👻👍;politic
134;['1622718492263809047'];1622718492263809024;"@LI_politic_guy @the_poggy_doggy Yes. Along with Stalin, Lenin, and Mao and Marx. Each with a plaque listing their history and atrocious acts. ""See this guy? Evil exists. Don't be this guy. Here's why."" We need to remember this stuff. Art is supposed to invoke an emotional response; positive or negative.";politic
135;['1622718472399585291'];1622718472399585280;@SaviorHidden @Pro__Trading It's politic as https://t.co/tpxo3ro5BX just need to pick the most entertaining one in the end.;politic
136;['1622718461532332032'];1622718461532332032;@tedcruz What’s evil is infiltrating the body politic, acting like you want to help others while enriching yourself and blaming others for such actions. This is Satan’s favorite way to steal. Anton would be so proud of you, and your eternal reward awaits (like Slayer’s second album!);politic
137;['1622717559236890624'];1622717559236890624;Physical and Political aftermath of the Chinese Spy Balloon https://t.co/gSlD8XI4Kt  - @politic_talks #politics #politic;politic
138;['1622717431943757843'];1622717431943757824;@Chris_H_Politic @politicsJunkE @JulianCastro BBB was never and I mean NEVER going to pass;politic
139;['1622717201965875218'];1622717201965875200;"Nicaragua: Another Priest Sentenced to 10 years in Prison 

According to a recent report, endorsed by the Inter-American Commission on Human Rights (IACHR), the number of politic...
https://t.co/fNdhD81iQI
#LatinAmerica #Newsdeskinbox 
#bishop #CatholicNews #... https://t.co/PxtcsM2Qop";politic
140;['1622716850449825793'];1622716850449825792;@LI_politic_guy @JoThoAlbright Long Island needs to be annexed by the motherland at the other side of the sound;politic
141;['1622716812965150737'];1622716812965150720;"RT @allthecitizens: Brexit, Russia, and many more? 
https://t.co/TXqk2F9ikb";politic
142;['1622716466352062475'];1622716466352062464;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
143;['1622715953707380741'];1622715953707380736;"Nicaragua: Another Priest Sentenced to 10 years in Prison 

According to a recent report, endorsed by the Inter-American Commission on Human Rights (IACHR), the number of politic...
https://t.co/exwVPKDiuv
#LatinAmerica #Newsdeskinbox 
#bishop #CatholicNews #... https://t.co/8ADmTBpR4J";politic
144;['1622715512827379728'];1622715512827379712;"RT @Jacobbe79601492: Brilliant piece &amp; powerful analysis by @jonlis1 who examines whether telling the truth of #brexit would take down the…";politic
145;['1622715126167076880'];1622715126167076864;"RT @theJJx97: @NOELreports Seems like 🇨🇿 is already planning on sending medical help to 🇹🇷. 
When natural disaster happens, we should not l…";politic
146;['1622715062405238785'];1622715062405238784;@CALUSA18 @jpsthevikingcpt Stop with idiotic politic comments, thousand are death!;politic
147;['1622714871769956354'];1622714871769956352;@CultrHack @MarkJacob16 There have some talks also that R.Raegan's politic had lead to broke of the USSR.;politic
148;['1622714852736204816'];1622714852736204800;@LI_politic_guy They invented the free school breakfast program;politic
149;['1622714071249289225'];1622714071249289216;@Chris_H_Politic @SpoiledDendrite @CelticsJAM @JulianCastro I understand your frustration. However, the bills passed take some time. Inflation is going down and gas hit below $3 today in WV. That's huge for WV. Seniors will see benefits sooner, but it's coming for all of us. I do think more pressure on price gouging is needed.;politic
150;['1622713823609192449'];1622713823609192448;@POTUS @POTUS you say shit like this but 63%of us live paycheck to paycheck. I hear this and all I can think is... for whom? It ain't me seeing any benefit and no one I know either. It's politic garbage, no bearing in the real lived in world.;politic
151;['1622713764976947200'];1622713764976947200;Any anime YouTubers of Color round here?? I’m tryna politic 😈;politic
152;['1622713276797968384'];1622713276797968384;Border hawks dismiss Kamala Harris' immigration announcement: 'Political stunt' https://t.co/NWI7rQK5ln  - @politic_talks #Politics #Political;politic
153;['1622712983603347489'];1622712983603347456;@Chris_H_Politic @JulianCastro Okay sounds good;politic
154;['1622712957724491798'];1622712957724491776;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";politic
155;['1622712653733920788'];1622712653733920768;RT @JinkiesJerrica: i’m deeply wary of marginalized people replicating the frameworks of our oppressors as part of their liberatory politic…;politic
156;['1622712464998629376'];1622712464998629376;UNLEASH POLITIC.;politic
157;['1622712349844180992'];1622712349844180992;RT @JinkiesJerrica: i’m deeply wary of marginalized people replicating the frameworks of our oppressors as part of their liberatory politic…;politic
