;edit_history_tweet_ids;id;text;withheld;intent
12;['1623469225049468928'];1623469225049468928;alone.'Tw g--politic' high,tight  that  the  entering. interpret nerves so  #盗百度云网盘 *开房记录  、 https://t.co/od1p56NJtw;;politic
13;['1623469198289604609'];1623469198289604608;@LI_politic_guy At least you learned that it was wrong, man. Some people don't and it's sad af;;politic
14;['1623469117188579332'];1623469117188579328;@DonizeteHeron @LI_politic_guy You do know thats all bait right? Ppl make posts like that to try and make trans ppl look bad;;politic
15;['1623469066898882560'];1623469066898882560;@L0CKERHEAD @LI_politic_guy yes omg it was awful;;politic
16;['1623468880441257984'];1623468880441257984;@LI_politic_guy Also mock away. You should understand that their is bad mocking and good natured mocking(good natured mocking is only good in some capacities with some people);;politic
17;['1623468829098606592'];1623468829098606592;@tnselfgov @Moms4LibertyWC @TnCoNews1  Body Politic vs. Body Corporate.  Guess which one is winning?  Look at people beginning to wake up to the problem. https://t.co/zNSApdHvgp;;politic
18;['1623468397844652032'];1623468397844652032;@DennIsDoodIes @d4nnyonfilm @SongOfRebellion @LI_politic_guy Dennis only follows furry artists. Not that it matters but I think it’s worth stating;;politic
19;['1623468392307982336'];1623468392307982336;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
20;['1623468385592909826'];1623468385592909824;@DonizeteHeron @LI_politic_guy that's separate from being transgender and I think every LGBT person can get behind that. transracial and transage ppl aren't what trans ppl are fighting for.;;politic
21;['1623468379704000521'];1623468379704000512;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
22;['1623468224288374786'];1623468224288374784;"RT @Attiya54298715: Fitna khan nayizi is doing dirty politic's to destabilize pakistan! Bankrupt  it &amp; spread chaos!

#پاکستان_دشمن_فتنہ ht…";;politic
23;['1623467955601260544'];1623467955601260544;@SongOfRebellion @LI_politic_guy mfw 2 16 year olds get on blockers so i have to make my entire online persona shitting on kids. twitter is awesome. get therapy.;;politic
24;['1623467504709300224'];1623467504709300224;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
25;['1623467483792576512'];1623467483792576512;"@2funky4words what a poseur 
Politic$ &amp; ✞religion have become rackets, not paragons of virtue &amp; altruism.
More Than 50 Billionaires—Including A Couple Of Trump Supporters—Have Donated To Senator Kyrsten Sinema
https://t.co/ZtNlujlZ9a https://t.co/KFVBDZjBdH";;politic
26;['1623467401655328768'];1623467401655328768;@ajeromorgan U get voters card,see bat na politic himself apc do win already;;politic
27;['1623467337981599744'];1623467337981599744;RT @RaymondMollica: @AshaRangappa_ Yes, but at the same time the continued erosion of normalcy infects the body politic writ large, in no s…;;politic
28;['1623467290191708162'];1623467290191708160;"RT @PartyPrat: &gt;keffals being upset hasanabi was ""bullied"" out of playing the Harry Potter game on livestream 

You can totally dispose of…";;politic
29;['1623467258864443392'];1623467258864443392;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
30;['1623466909462323200'];1623466909462323200;@L0CKERHEAD @LI_politic_guy I made those jokes WHILE being trans so um;;politic
31;['1623465788740083712'];1623465788740083712;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
32;['1623465660977147904'];1623465660977147904;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
33;['1623465581981868032'];1623465581981868032;RT @libertybiberty: @SongOfRebellion @LI_politic_guy Big difference between speaking the truth and speaking without thought;;politic
34;['1623465489124016129'];1623465489124016128;"RT @PartyPrat: &gt;keffals being upset hasanabi was ""bullied"" out of playing the Harry Potter game on livestream 

You can totally dispose of…";;politic
35;['1623465423948722177'];1623465423948722176;@LI_politic_guy Disagree, tho I don’t mock;;politic
36;['1623464812293259267'];1623464812293259264;@SongOfRebellion @LI_politic_guy Isn’t that how Christianity spread world wide;;politic
37;['1623464661147439106'];1623464661147439104;RT @sherman_wood: @TonyHussein4 wish the GOP could/would return to a decent politic institution as Mitt Romney pointed out a Santos Fraud s…;;politic
38;['1623464610492817408'];1623464610492817408;@L0CKERHEAD @LI_politic_guy Yep. That's me. You're probably wondering how I got here.;;politic
39;['1623464590284562432'];1623464590284562432;@notunlikeadream @DHSOffic1al @Romandrew12 @CurseHandsBand @LI_politic_guy Certain gender roles may be a social construct but a persons biological sex/gender is not a human made concept. A woman can do manly things and vice Versa, but is still a woman;;politic
40;['1623464416653070338'];1623464416653070336;"@L0CKERHEAD @LI_politic_guy yes god yes i was a huge ""anti-sjw"" kid who thought the only valid sexualities were gay and bi, and now i am nonbinary and aroace";;politic
41;['1623464322801491968'];1623464322801491968;@Sarcasm_politic @Anand_Thakur_35 One more missing. Supriya Srinate ..;;politic
42;['1623464217805312001'];1623464217805312000;@notunlikeadream @DHSOffic1al @Romandrew12 @CurseHandsBand @LI_politic_guy You really believe that? Please show me evidence that that’s true. What’s the difference in someone born with a prostate, testicles, adams apple, and penis in comparison with someone born with ovaries and has a “woman’s” bone structure. That’s not a societal creation;;politic
43;['1623464131251560449'];1623464131251560448;@dookieRuntz @Vap0rBat @SongOfRebellion @LI_politic_guy Isn’t that just religion;;politic
44;['1623464088662642688'];1623464088662642688;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
45;['1623464041334054913'];1623464041334054912;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
46;['1623463955673776129'];1623463955673776128;@LI_politic_guy This is so accurate. What the hell was wrong with me;;politic
47;['1623463870743412736'];1623463870743412736;RT @2005Cookieboy: @LI_politic_guy I didn’t even know it had anything to do with trans-ness when I was younger, I just thought it was a fun…;;politic
48;['1623463689558056961'];1623463689558056960;@2005Cookieboy @LI_politic_guy Yeah same;;politic
49;['1623463542883237888'];1623463542883237888;I seen peoples IG that went to the Roots Grammy party that never did a dam thing for the culture, me I never been invited to it my entire life, the few times I had  to politic to get in. Honestly it got me in my feels;;politic
50;['1623463470766370816'];1623463470766370816;@d4nnyonfilm @SongOfRebellion @LI_politic_guy Ok cameron he they;;politic
51;['1623463145242234880'];1623463145242234880;RT @Bedeapk: Said it before and unfortunately will say it again and again: corporate and uncapped donations are a cancer in the body politi…;;politic
52;['1623462943638851585'];1623462943638851584;It would be nice not to have to ask anyone for ish… to just have it be a given to I’m invited to ish, to get sent apparel for the bands you were instrumental in signing, to not have to politic for acknowledgement. I hate asking for anything for free, its too dam expensive;;politic
53;['1623462754911748096'];1623462754911748096;@L0CKERHEAD @LI_politic_guy lol i did, and i wasn't even making them to mock anyone when i was younger lmao;;politic
54;['1623462392696045568'];1623462392696045568;@LI_politic_guy We appreciate the honesty,;;politic
55;['1623461854638133248'];1623461854638133248;"@LI_politic_guy 😔yeah... 
I don't like my former teenaged self too much.";;politic
56;['1623461834081677312'];1623461834081677312;@My_Politic Love these behind the song tweets. Makes the songs so much more powerful imo. Thank you for these!;;politic
57;['1623461662199099395'];1623461662199099392;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
58;['1623461422830325760'];1623461422830325760;@DonizeteHeron @LI_politic_guy this is where you and the transgender community agree.;;politic
59;['1623461415989174272'];1623461415989174272;@Bundeskanzler 😡😡😡😡😡😡😡😡😡😡😡😡😡bullshit ! The EU is a marionette of @JoeBiden and the politic of the USA 🇺🇸 over 75 years we say: Made in Germany 🇩🇪 Now we say we are a Slave from sleepy Joe ! Stop this war or it will ends in Nuclear ☢️ war ! mark my words! Hobbit ✌️ https://t.co/X0EjzVyuv7;;politic
60;['1623461240453357569'];1623461240453357568;@bobbyho48668082 @DHSOffic1al @Romandrew12 @CurseHandsBand @LI_politic_guy Actually it does! The concept of a woman is purely social.;;politic
61;['1623461152327102465'];1623461152327102464;@LI_politic_guy Me and my friend when we saw we could customize our pronouns online when we were kids. Now we are older and we use different pronouns as adults.;;politic
62;['1623460915071836162'];1623460915071836160;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
63;['1623460283875196934'];1623460283875196928;@LI_politic_guy I never even understood the attack helicopter stuff I thought people genuinely liked imitating helicopters 🚁;;politic
64;['1623460146235015168'];1623460146235015168;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
65;['1623460040035246081'];1623460040035246080;"RT @ROOZBEHRA: ⚪️🟡GOLDEN PAPERS IS READY TO DOWNLOAD BOOK-MAGAZINE| Roozbeh Ravar 2022
DEDICATED TO 🚨 🇺🇸 
collection of my recent and old p…";;politic
66;['1623459805976207360'];1623459805976207360;@LI_politic_guy @2005Cookieboy Tbf no-one clowns harder on Britain that we Brits ourselves;;politic
67;['1623459727177809922'];1623459727177809920;@LI_politic_guy Atleast you weren't the guy who learned that the N-word is something that you shouldn't use in 9th grade.;;politic
68;['1623459395228119041'];1623459395228119040;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
69;['1623459054306865152'];1623459054306865152;Let’s politic?;;politic
70;['1623458846378283009'];1623458846378283008;"@DanieleinaD33 @LI_politic_guy Beauty standards for both sexes originally developed in a way that makes sense for procreation, so they definitely have that biological link.

Yet it would be insane to argue that beauty standards are subordinate to procreation and therefore have to reflect that original purpose.";;politic
71;['1623458712005529600'];1623458712005529600;RT @ItzWeezory: @suicideasuicide @LI_politic_guy this picture applies way more often than I thought it would https://t.co/IIT2vvTqGS;;politic
72;['1623458628970897409'];1623458628970897408;@BrentonEcc @CalebJHull same types will go “in communism you just wear jumpsuit ahhh!!!” And freak out about dynamic and changing clothing - also harry styles is kinda cringe you dont to tie it to any reactionary politic to say that;;politic
73;['1623457514879864832'];1623457514879864832;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";;politic
74;['1623457457011068928'];1623457457011068928;"RT @literarybase: /LT THE POPPY WAR SERIES: -based on true historical events
-platonic soulmates
-ambitious strong female mc
-corruption, p…";;politic
75;['1623457405454671872'];1623457405454671872;"@DanieleinaD33 @LI_politic_guy Gender is not ""subordinated"" to sex, it's characteristics just developed alongside each other. You're using the biological origin to justify the view ""gender depends on sex"" when in reality gender is what we agree it is.

Same as with beauty standards, since you mentioned them.";;politic
76;['1623457274151993344'];1623457274151993344;"RT @Attiya54298715: Fitna khan nayizi is doing dirty politic's to destabilize pakistan! Bankrupt  it &amp; spread chaos!

#پاکستان_دشمن_فتنہ ht…";;politic
77;['1623457213842083843'];1623457213842083840;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";;politic
78;['1623457207458349058'];1623457207458349056;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
79;['1623456968047489024'];1623456968047489024;@LI_politic_guy AGGGGGHHHHHHHH I HATE MYSELF! https://t.co/MnzEIFsINv;;politic
80;['1623456756197203971'];1623456756197203968;@SpeakerMcCarthy @SarahHuckabee I always thought the speech from the other party should be to the general population during their rebuttal. Guess the new republican only speak to their base now… just know you won’t win with a speech that appeals to your maga base only, LoL. Politic 101.;;politic
81;['1623456600349614082'];1623456600349614080;@DanielRegha Many people forget that the hardest tribe to twist their mind in Nigeria is the yoruba... Fela did well, he fought a good fight... His children should play neutral in Nigeria politic or they will bring their father name to shame.;;politic
82;['1623456597258420224'];1623456597258420224;"@SongOfRebellion @LI_politic_guy it wasn't ""all good"" if you are already in denial of the reality
Trans people exist, no matter how stupid you are, learn to live with that";;politic
83;['1623456400566530050'];1623456400566530048;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
84;['1623456222077927424'];1623456222077927424;@LI_politic_guy @Meme_murf @DonizeteHeron It for sure is a thing.;;politic
85;['1623456000148905986'];1623456000148905984;"Carnival Songs is a new novel by S.V. Brown about the history of politic, race and society in the city of Torrenceburg, Indiana through the eyes of the families that live there. #books #writing #amazon #writerslift 
https://t.co/fxT7LRqOLS";;politic
86;['1623455733001113600'];1623455733001113600;@SongOfRebellion @LI_politic_guy Hey there Mr. Brain Genius do you think trans adults were born adults? Do you think they do not exist in space and time until the minute they turn 18? Nobody was brought into anything, the space has always existed, being uncomfortable that it exists seems like a you problem.;;politic
87;['1623455504306667521'];1623455504306667520;RT @radilime: @HyunWdong741 @LI_politic_guy @RuralLeftie98 W to W communication https://t.co/ivmNx6q3Mt;;politic
88;['1623455333506240512'];1623455333506240512;@cornyanxd @SongOfRebellion @LI_politic_guy Did you… even read the replies…?;;politic
89;['1623455284982337538'];1623455284982337536;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
90;['1623455147635666944'];1623455147635666944;@politic_animal Don’t forget that Musky was an early entrant into this fray. https://t.co/kve7d7PTGf;;politic
91;['1623455129415602176'];1623455129415602176;@Hito29315225 @2005Cookieboy @LI_politic_guy Yeah I really wasn't the brightest 💀💀;;politic
92;['1623455037967204352'];1623455037967204352;@LI_politic_guy I matured beyond belief quickly, never was I an actual poor minded person to others, I just always cracked jokes. Now I know;;politic
93;['1623454808282894336'];1623454808282894336;Until this tweet, I had honestly forgot about Isis, and I’m a politic student https://t.co/3sRiBUlPcY;;politic
94;['1623443734120595456'];1623443734120595456;"Nicaragua: Another Priest Sentenced to 10 years in Prison 

According to a recent report, endorsed by the Inter-American Commission on Human Rights (IACHR), the number of politic...
https://t.co/hy05Xg4Jwd
#LatinAmerica #Newsdeskinbox 
#bishop #CatholicNews #... https://t.co/GWKk0xy0Kn";;politic
95;['1623442437304643585'];1623442437304643584;"Nicaragua: Another Priest Sentenced to 10 years in Prison 

According to a recent report, endorsed by the Inter-American Commission on Human Rights (IACHR), the number of politic...
https://t.co/wY88MvCTiX
#LatinAmerica #Newsdeskinbox 
#bishop #CatholicNews #... https://t.co/If1zLLVJ46";;politic
96;['1623438259723304962'];1623438259723304960;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";;politic
97;['1623437896421351425'];1623437896421351424;"RT @BremainInSpain: Brexit - Three Years On: The Lie So Etched on Britain’s Body Politics

Buzzwords may have changed ‘freeports’, ‘vaccine…";;politic
98;['1623437249382858752'];1623437249382858752;@LI_politic_guy I was like this too at 12 and now I’m one of the people who just wants to be comfortable in their own skin dude it’s crazy how much self-hatred will do to someone;;politic
99;['1623437227215945728'];1623437227215945728;"RT @WaheedAbbasiSMT: Fitna khan nayizi is doing dirty politic's to destabilize pakistan! Bankrupt  it &amp; spread chaos!
#پاکستان_دشمن_فتنہ ht…";;politic
100;['1623437044394360836'];1623437044394360832;@FrankMikeDavis1 Because their base is made up of the uneducated. Soon as you have better education their base will be disappearing. Then they would actually have to have  sound policy to offer rather than the politic of hate.;;politic
101;['1623436901150760963'];1623436901150760960;@LI_politic_guy i didn’t even understand the context NOW IN GENDERFLUID;;politic
102;['1623436843525246978'];1623436843525246976;@ManLikeIcey Then she should quit politics. Politic no be anyone's mate ask Trump and the woman speaker Nancy Pelosi;;politic
103;['1623436786054885377'];1623436786054885376;@o_ebag @LI_politic_guy There’s been a lot of cringe stuff associated with the egalitarian label, but in the end I think the actual things you say and do matter, not the label (besides extremist labels ofc.) I also think someone can think women are hugely oppressed in society and still not be a feminist;;politic
104;['1623436760540934145'];1623436760540934144;@16Andyyx @DoodlinMcDraco @ireann15 @LI_politic_guy Men pretending to be women are intruding into women's sports and women's locker rooms and prisons.  It's bad for society;;politic
105;['1623436576004128768'];1623436576004128768;RT @ItzWeezory: @suicideasuicide @LI_politic_guy this picture applies way more often than I thought it would https://t.co/IIT2vvTqGS;;politic
106;['1623436508131893248'];1623436508131893248;@CitizenFreePres But when you have a country that is defaulting they can't do a damn thing except politic for CBDC and track us more. I DONT WANT THAT.;;politic
107;['1623436503895638016'];1623436503895638016;@Gromit007 @DianaPOMoon agree - performance politic - we need to find away to ignore her...stop responding to her tweets and stop reposting them...;;politic
108;['1623436473726013441'];1623436473726013440;@WesleyJamess @o_ebag @LI_politic_guy EQUALITY IS IMPOSSIBLE BECAUSE MEN AND WOMEN ARE NOT EQUAL. HENCE WHY FEDERAL GOVERNMENT DISCRIMINATES AGAINST WOMEN BY GARENTEEING BENEFITS FOR PREGNANT WOMEN. IT IS IMPOSSIBLE AND SHOULD NOT BE ATTEMPTED BECAUSE IT GOES AGAINST HUMAN NATURE. AND IS SIMPLY PUT RETARTED;;politic
109;['1623436285166903296'];1623436285166903296;@WeSmokinVon @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Ok bot;;politic
110;['1623436240598228992'];1623436240598228992;@o_ebag @WesleyJamess @LI_politic_guy YEAH AND THEY BOTH STINK LIKE ROTTEN EGGS. WHEN I MADE FUN OF FEMINISTS IN THE TWENTY TENS I MEANT IT. THEY ARE DEGENERATES AND HAVE NO BASIS FOR THEIR BELIEFS;;politic
111;['1623436150974345216'];1623436150974345216;@o_ebag @LI_politic_guy Oh I don’t believe feminism is built on man hating or anything, and I know it praises equality and has some solutions to mens problems as well. But I also know a movement is the people in it, and besides the buzzfeed and stuff, terfs still call themselves feminists as well (1/2);;politic
112;['1623436145165213697'];1623436145165213696;@Shootcci @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Ain’t gon bring em back Lil bro;;politic
113;['1623435830336561153'];1623435830336561152;"@theblaze It is not a paradox when you realize free speach, without censorship, allows the body politic to develop its own path through the market place of ideas.    The ""less"" speach he refers to is that looses its audience as it is rejected by the public.";;politic
114;['1623435646131138560'];1623435646131138560;Republicans blast Biden admin over plan to crack down on waiters' tips https://t.co/JFuf6uOQa7  - @politic_talks #Politics #Political;;politic
115;['1623435623192477702'];1623435623192477696;@RishiSunak This double standard https://t.co/abMegxVy0q about the DRC? You don't do anything. Why? Because they are monkeys. You can send Your foolish man Kagame to loot minerals for you. Sir God will judge you.;;politic
116;['1623435393990524928'];1623435393990524928;"@NimaTavRood @wgdaquila I hope to hear more from people like things like you told me about Bessa. Because it's not like a politic debat on TV4 that they ""I told you about the problem 10 years ago"". When the gard goes down I'll be calm.";;politic
117;['1623435186267652096'];1623435186267652096;"@LI_politic_guy I was never transphobic but I was neopronouns and mogai phobic. 
I watched kalvin garrah and some edgy commentary youtubers that were cishet so they didnt even know what they were talking about. Definitely messed with my brain.";;politic
118;['1623435082131476480'];1623435082131476480;RT @ModerateDemFan: @LI_politic_guy Important thing is to fight what is right now rather than wallowing in guilt;;politic
119;['1623435058827911169'];1623435058827911168;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
120;['1623434930926804993'];1623434930926804992;@WeSmokinVon @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Ok bot;;politic
121;['1623434929790156800'];1623434929790156800;"RT @sax_banana: @LI_politic_guy A lot of us had the edgy ""offensive=funny"" phase. The fact that you cringe at your past self doing that mea…";;politic
122;['1623434911347769344'];1623434911347769344;RT @ModerateDemFan: @LI_politic_guy Important thing is to fight what is right now rather than wallowing in guilt;;politic
123;['1623434833316970496'];1623434833316970496;@SongOfRebellion @LI_politic_guy no wonder they call you the mad tinfoil hatter jesus christ;;politic
124;['1623434812756484096'];1623434812756484096;RT @Bedeapk: Said it before and unfortunately will say it again and again: corporate and uncapped donations are a cancer in the body politi…;;politic
125;['1623434796402896896'];1623434796402896896;@WesleyJamess @LI_politic_guy i get what you mean, but that statement usually comes from a place of fundamental misunderstanding of what feminism is. it certainly did in my case. feminism and egalitarianism are the same thing.;;politic
126;['1623434547143798784'];1623434547143798784;@domashiforever @NewJeans_twt Lol Hanni doesn’t involve in the politic, it’s her parents.;;politic
127;['1623434546762121216'];1623434546762121216;@mayb1u @Shootcci @LI_politic_guy @DHSOffic1al @Romandrew12 @CurseHandsBand Not you, him, or whatever child y’all groomin 🤣;;politic
128;['1623434423038533632'];1623434423038533632;@mayb1u @Shootcci @LI_politic_guy @DHSOffic1al @Romandrew12 @CurseHandsBand Cause can’t nobody silence me;;politic
129;['1623434277227732992'];1623434277227732992;tell  smilingly  g--politic' and  Protestan story that  Protestan her back  #修改学历提升学历#实力！ #安全  * https://t.co/9yqS9R7Aal;;politic
130;['1623434225574879232'];1623434225574879232;"RT @WaheedAbbasiSMT: Fitna khan nayizi is doing dirty politic's to destabilize pakistan! Bankrupt  it &amp; spread chaos!
#پاکستان_دشمن_فتنہ ht…";;politic
131;['1623434197984768001'];1623434197984768000;@WeSmokinVon @Shootcci @LI_politic_guy @DHSOffic1al @Romandrew12 @CurseHandsBand why are you still talking;;politic
132;['1623433776121655296'];1623433776121655296;Women gun owners slam Biden's SOTU demand to 'ban assault weapons now': 'Joe, come and take it' https://t.co/CJ8Ho338Uv  - @politic_talks #Politics #Political;;politic
133;['1623433716046659585'];1623433716046659584;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
134;['1623433558462468097'];1623433558462468096;@LI_politic_guy The helicopter thing weirded me out a lot bc they were basically saying they (usually cishets men) had so little in common with women that they're practically literal inanimate objects;;politic
135;['1623433470742757377'];1623433470742757376;@TheCoordinate91 @impartial_bunny You know that the entire internet doesn't revolve around the US politic?;;politic
136;['1623433465415839749'];1623433465415839744;@Shootcci @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Dead 13 year old troon pack got me like dis 🤣 https://t.co/FaMWSQPM9Q;;politic
137;['1623433239481155584'];1623433239481155584;"@L0CKERHEAD @LI_politic_guy i said the joke once, but that was before i even learned what it meant

but yeah";;politic
138;['1623433198804905992'];1623433198804905984;@WeSmokinVon @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Ok bot;;politic
139;['1623433054566899714'];1623433054566899712;@Shootcci @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Says the NPC;;politic
140;['1623432537300140034'];1623432537300140032;"RT @SAtriumWrites: Thanks for the great review!  @ArtisanReads @selfpubreview @BookTrib #IARTG 

The Body Politic by Stella Atrium - https:…";;politic
141;['1623432465930133504'];1623432465930133504;@SongOfRebellion @LI_politic_guy He think trans people just spawn in at 18💀;;politic
142;['1623432304810143744'];1623432304810143744;"!""They  Aline  you  ent.His  ated."" encyclop g--politic' *新增学历 #官方查询  + https://t.co/9yqS9R7Aal";;politic
143;['1623432254512054272'];1623432254512054272;"@JoJoFromJerz @RepMTG @GOPoversight Some people are only capable of complaining about one thing, repeatedly, ad nauseam. You should maybe listen. These previous Twitter execs were doing some shady s***. You were always screaming that ""those people"" are doing shady s***.. as long as they were to your politic people";;politic
144;['1623432215395721218'];1623432215395721216;@Faj873 @LI_politic_guy Everyone is pretending to be a gender dipshit it came free with your living in a fucking society!;;politic
145;['1623432066057781248'];1623432066057781248;@WeSmokinVon @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Ok bot;;politic
146;['1623431914437885952'];1623431914437885952;@Shootcci @LI_politic_guy @mayb1u @DHSOffic1al @Romandrew12 @CurseHandsBand Stream the 5th reich https://t.co/3pwAZzZezW;;politic
147;['1623431858561204228'];1623431858561204224;"@EastonNoodle transphobia and antisemitism aren't just ""politic stuff."" you're being childish and negligent.";;politic
148;['1623431791594946560'];1623431791594946560;"RT @sax_banana: @LI_politic_guy A lot of us had the edgy ""offensive=funny"" phase. The fact that you cringe at your past self doing that mea…";;politic
149;['1623431760473120772'];1623431760473120768;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
150;['1623431648158031873'];1623431648158031872;@Romandrew12 @LI_politic_guy Go kiss your wife for me🏳️‍⚧️😘;;politic
151;['1623431623885848576'];1623431623885848576;Hunter Biden proposed his firm's office space with 'separate entrance' for new hire of Beijing-backed firm https://t.co/wFZ19vcPvJ  - @politic_talks #Politics #Political;;politic
152;['1623431535574614019'];1623431535574614016;I really love this man. I think we need more people like @ZelenskyyUa to come to Political sphere. We don't need traditional politicians, they destroyed the meaning of Politic. https://t.co/jJn50UnIWV;;politic
153;['1623431463956873216'];1623431463956873216;@LI_politic_guy we all make mistakes, you can't live life without making them. As long as you learn from them.;;politic
154;['1623431440112418817'];1623431440112418816;"imagine the society where whining for rEPreSenTati0N is no more, but then those ""representations"" are either assholes or just some mid as an actor who just wanna fulfill their politic agenda.";;politic
155;['1623431290845376514'];1623431290845376512;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
156;['1623431263586508802'];1623431263586508800;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
157;['1623431171500834816'];1623431171500834816;@EldritchAbomin4 @LI_politic_guy Not me bro 😐;;politic
158;['1623431158376562694'];1623431158376562688;RT @L0CKERHEAD: @LI_politic_guy did anyone else go down the making those jokes to discovering that theyre trans pipeline or is that just me;;politic
159;['1623431078911348736'];1623431078911348736;Healthcare continues to chug along at half staffed, and the tech nerds are being laid off in droves. Probably best unemployment ever in 90 years. Idk, I'm not that good at politic maths;;politic
